epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.691,1.16546,1.34993,1.2583,0.61905,0.47501,0.50909,0.35351,1.15556,1.29054,1.229,3.96032e-05,3.96032e-05,3.96032e-05
2,208.095,1.16006,1.37422,1.2555,0.60084,0.45723,0.4896,0.33611,1.1795,1.34839,1.25203,7.6654e-05,7.6654e-05,7.6654e-05
3,305.664,1.17544,1.4014,1.26408,0.57739,0.45216,0.47281,0.32424,1.18756,1.3739,1.25241,0.000111087,0.000111087,0.000111087
4,401.785,1.17615,1.41232,1.2642,0.58606,0.44278,0.47149,0.32069,1.20274,1.38989,1.26742,0.000107219,0.000107219,0.000107219
5,497.84,1.17302,1.39686,1.26373,0.58822,0.44973,0.47504,0.32444,1.19292,1.38069,1.25729,0.000103292,0.000103292,0.000103292
6,593.783,1.16816,1.38879,1.26318,0.58758,0.4438,0.47576,0.32509,1.18864,1.37351,1.25859,9.9365e-05,9.9365e-05,9.9365e-05
7,689.676,1.16275,1.38087,1.2585,0.5884,0.44326,0.47325,0.3245,1.19768,1.3846,1.26075,9.5438e-05,9.5438e-05,9.5438e-05
8,785.53,1.1586,1.36228,1.25167,0.57414,0.44847,0.47326,0.32154,1.19281,1.37375,1.25793,9.1511e-05,9.1511e-05,9.1511e-05
9,881.631,1.15768,1.35611,1.25456,0.58355,0.44688,0.47626,0.32623,1.19218,1.37882,1.25975,8.7584e-05,8.7584e-05,8.7584e-05
10,977.404,1.15731,1.35188,1.25081,0.59148,0.44586,0.47592,0.32709,1.19132,1.36955,1.26048,8.3657e-05,8.3657e-05,8.3657e-05
11,1073.38,1.14941,1.33904,1.24634,0.60539,0.44623,0.47992,0.32797,1.19373,1.37011,1.25685,7.973e-05,7.973e-05,7.973e-05
12,1168.92,1.14565,1.3261,1.24522,0.59814,0.45305,0.48102,0.33068,1.19029,1.36963,1.25368,7.5803e-05,7.5803e-05,7.5803e-05
13,1264.89,1.14391,1.31919,1.24148,0.59522,0.44752,0.47772,0.32769,1.18665,1.36638,1.25341,7.1876e-05,7.1876e-05,7.1876e-05
14,1360.4,1.1353,1.31174,1.23992,0.60489,0.44462,0.47971,0.3294,1.19074,1.3633,1.25477,6.7949e-05,6.7949e-05,6.7949e-05
15,1456.31,1.13513,1.30144,1.23686,0.57607,0.46425,0.48192,0.33143,1.18153,1.35458,1.25156,6.4022e-05,6.4022e-05,6.4022e-05
16,1551.86,1.13124,1.29942,1.23584,0.60478,0.45461,0.48474,0.33279,1.1844,1.3431,1.25253,6.0095e-05,6.0095e-05,6.0095e-05
17,1647.44,1.13116,1.28814,1.23243,0.59733,0.45607,0.48444,0.33267,1.18085,1.34955,1.2499,5.6168e-05,5.6168e-05,5.6168e-05
18,1742.81,1.12717,1.28126,1.23179,0.60139,0.45717,0.48307,0.33244,1.18308,1.34832,1.25266,5.2241e-05,5.2241e-05,5.2241e-05
19,1837.85,1.1189,1.26955,1.22795,0.58939,0.46226,0.4876,0.33542,1.18015,1.34058,1.24995,4.8314e-05,4.8314e-05,4.8314e-05
20,1932.95,1.12034,1.26974,1.2268,0.60319,0.45547,0.48696,0.33548,1.18037,1.34284,1.24809,4.4387e-05,4.4387e-05,4.4387e-05
