epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4928,1.3182,1.46718,1.09341,0.62719,0.52003,0.56711,0.32797,1.22942,0.94971,1.062,0.00047506,0.00047506,0.00047506
2,98.8352,1.21641,0.99022,1.06817,0.72075,0.60191,0.65325,0.37774,1.17287,0.84547,1.06166,0.000935695,0.000935695,0.000935695
3,144.296,1.20234,0.89309,1.06277,0.75028,0.62197,0.68793,0.40167,1.13447,0.78871,1.03736,0.00138061,0.00138061,0.00138061
4,189.017,1.15876,0.83336,1.04995,0.71945,0.6023,0.68237,0.41239,1.0901,0.74779,1.03151,0.00135826,0.00135826,0.00135826
5,233.932,1.12517,0.78808,1.03331,0.78043,0.62132,0.70494,0.42501,1.08312,0.73288,1.03183,0.00133469,0.00133469,0.00133469
6,278.902,1.09769,0.76648,1.0271,0.77169,0.64479,0.72559,0.44647,1.04162,0.69951,1.00845,0.00131111,0.00131111,0.00131111
7,323.954,1.08239,0.7378,1.01771,0.8301,0.64849,0.75614,0.46134,1.04193,0.68704,1.00243,0.00128753,0.00128753,0.00128753
8,368.294,1.05017,0.7094,1.00362,0.80109,0.67921,0.76913,0.46857,1.02714,0.66351,0.99974,0.00126395,0.00126395,0.00126395
9,413.114,1.04249,0.69981,1.00553,0.83305,0.66685,0.77077,0.48221,0.99055,0.64326,0.98514,0.00124037,0.00124037,0.00124037
10,457.755,1.03596,0.69143,1.00074,0.80825,0.68907,0.7813,0.48894,0.97567,0.63889,0.98189,0.00121679,0.00121679,0.00121679
11,502.54,1.00857,0.67364,0.99159,0.8077,0.6883,0.77173,0.49554,0.97795,0.62106,0.98338,0.00119322,0.00119322,0.00119322
12,547.269,1.0045,0.66409,0.9892,0.83782,0.70486,0.79213,0.50189,0.94629,0.59728,0.97537,0.00116964,0.00116964,0.00116964
13,592.188,0.99255,0.65119,0.98243,0.83234,0.72924,0.80953,0.51267,0.94923,0.59891,0.97425,0.00114606,0.00114606,0.00114606
